"統一編號","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址"
"00001519","富陞國際事業有限公司","FUSUN Ltd.","臺北市中山區松江路283號5樓","5 F., No. 283, Songjiang Rd., Zhongshan Dist., Taipei City 104072, Taiwan (R.O.C.)"
"00001594","默研醫學科技有限公司","Metiscience Biomedical Taiwan Limited","屏東縣屏東市北勢里公正四街75巷6號2樓","2 F., No. 6, Ln. 75, Gongzheng 4th St., Beishi Vil., Pingtung City, Pingtung County 900070, Taiwan (R.O.C.)"
"00002502","又大動力國際開發股份有限公司","YUDA Power International Development CO., LTD.","臺北市大安區敦化南路1段205號2樓之5","2 F.-5, No. 205, Sec. 1, Dunhua S. Rd., Da'an Dist., Taipei City 106446, Taiwan (R.O.C.)"
"00004086","洑沃有限公司","Fluoo Co., Ltd.","臺北市中山區民權西路20號2樓","2 F., No. 20, Minquan W. Rd., Zhongshan Dist., Taipei City 104626, Taiwan (R.O.C.)"
"00004142","未來創意風格有限公司","Future Creative Style CO., LTD.","臺北市大安區忠孝東路4段297號5樓","5 F., No. 297, Sec. 4, Zhongxiao E. Rd., Da'an Dist., Taipei City 106078, Taiwan (R.O.C.)"
"00004641","營智臺灣有限公司","SmartRetail Taiwan Limited","臺北市信義區松德路65號9樓之3","9 F.-3, No. 65, Songde Rd., Xinyi Dist., Taipei City 110031, Taiwan (R.O.C.)"
"00004810","道原智慧服務有限公司","DAOrigin CO., LTD.","新北市五股區中興路1段162號（2樓）","No. 162, Sec. 1, Zhongxing Rd., Wugu Dist., New Taipei City 248012, Taiwan (R.O.C.)"
"00005700","大中福國企業有限公司","DA CHONG FU NATION CO., LTD.","基隆市仁愛區南榮路131號","No. 131, Nanrong Rd., Ren’ai Dist., Keelung City 20045, Taiwan (R.O.C.)"
"00006807","銀福商店","CHIGNON CO.","雲林縣土庫鎮奮起里綺湖路９７號","N0.97, CHIHU, TUKU JEN, YUNLIN, TAIWAN 633, R.O.C."
"00007534","世成實業有限公司","Shicheng Industrial CO., LTD.","嘉義市東區文雅里文雅街293號11樓之2","11 F.-2, No. 293, Wenya St., Wenya Vil., East Dist., Chiayi City 600047, Taiwan (R.O.C.)"
"00007773","欣欣韓友有限公司","Xinhanyou LTD.","臺北市大安區羅斯福路3段247號1樓","1 F., No. 247, Sec. 3, Roosevelt Rd., Da'an Dist., Taipei City 106019, Taiwan (R.O.C.)"
"00008007","知恩好日子有限公司","ENN BEAUTY LTD.","桃園市龍潭區上林里玉龍路99號(1樓)","1 F., No. 99, Yulong Rd., Shanglin Vil., Longtan Dist., Taoyuan City 325024, Taiwan (R.O.C.)"
"00008597","超達有限公司","Supercons Co., Ltd.","高雄市鳳山區福誠三街97號","No. 97, Fucheng 3rd St., Fengshan Dist., Kaohsiung City 830641, Taiwan (R.O.C.)"
"00008610","百璽國際有限公司","Baixi CO., LTD.","臺中市西區向上路一段36號6樓之3","6 F.-3, No. 36, Sec. 1, Xiangshang Rd., West Dist., Taichung City 403008, Taiwan (R.O.C.)"
"00009152","颯可國際貿易有限公司","Sake International Co., Ltd.","臺中市西區和龍里臺灣大道二段2號8樓之5","8 F.-5, No. 2, Sec. 2, Taiwan Blvd., Helong Vil., West Dist., Taichung City 403018, Taiwan (R.O.C.)"
"00009370","仲祺國際有限公司","JOINT ADVANCED INDUSTRY CO., LTD.","臺中市西區公益路367號6樓之2","6 F.-2, No. 367, Gongyi Rd., West Dist., Taichung City 403427, Taiwan (R.O.C.)"
"00010448","仟奕印刷有限公司","CIAN YI PACKAGING Co.","新北市板橋區文化路1段329號4樓","4 F., No. 329, Sec. 1, Wenhua Rd., Banqiao Dist., New Taipei City 220014, Taiwan (R.O.C.)"
"00010799","今也有限公司","TOBE CO., LTD.","桃園市桃園區文明里長壽街76號三樓","3 F., No. 76, Changshou St., Wenming Vil., Taoyuan Dist., Taoyuan City 330045, Taiwan (R.O.C.)"
"00011072","奇亞能源股份有限公司","Chia Energy CO., LTD.","高雄市前鎮區瑞發街63號1樓","1 F., No. 63, Ruifa St., Qianzhen Dist., Kaohsiung City 806015, Taiwan (R.O.C.)"
"00011306","瑪朱有限公司","Maju Co., Ltd.","臺北市中正區忠孝東路1段152號12樓之6","12 F.-6, No. 152, Sec. 1, Zhongxiao E. Rd., Zhongzheng Dist., Taipei City 100024, Taiwan (R.O.C.)"
"00011615","鋐益豪有限公司","HUNG I HAO Limited Company","高雄市前鎮區武慶一路326號9樓","9 F., No. 326, Wuqing 1st Rd., Qianzhen Dist., Kaohsiung City 806016, Taiwan (R.O.C.)"
"00011930","中路商行有限公司","Janald Trading Company Limited","新北市新莊區中華路2段210巷16號4樓","4 F., No. 16, Ln. 210, Zhonghua Rd., Xinzhuang Dist., New Taipei City 242, Taiwan (R.O.C.)"
"00012255","佑龍食品有限公司","CJ's Diner Ltd.","新北市板橋區四川路1段198號(1樓)","1 F., No. 198, Sec. 1, Sichuan Rd., Banqiao Dist., New Taipei City 220055, Taiwan (R.O.C.)"
"00012760","蘇格拉底科技股份有限公司","Superlaty Technology Co., Ltd.","新北市三重區重新路2段21號11樓","11 F., No. 21, Sec. 2, Chongxin Rd., Sanchong Dist., New Taipei City 241050, Taiwan (R.O.C.)"
"00014057","綠洲生活事業股份有限公司","Eternaland Company Limited","臺中市西區民龍里臺灣大道二段186號22樓之1","22 F.-1, No. 186, Sec. 2, Taiwan Blvd., Minlong Vil., West Dist., Taichung City 403404, Taiwan (R.O.C.)"
"00016359","希克萊兒有限公司","C. Claire Limited.","新北市板橋區中山路1段10號11樓","11 F., No. 10, Sec. 1, Zhongshan Rd., Banqiao Dist., New Taipei City 220067, Taiwan (R.O.C.)"
"00017646","欣望教育有限公司","Hope Springs Education CO., LTD.","高雄市前鎮區天后街33號11樓","11 F., No. 33, Tianhou St., Qianzhen Dist., Kaohsiung City 806042, Taiwan (R.O.C.)"
"00017701","臺灣酒造有限公司","Taiwan Made Wine CO., LTD.","苗栗縣頭份市新華里大營路50巷7弄7號","No. 7, Aly. 7, Ln. 50, Daying Rd., Xinhua Vil., Toufen City, Miaoli County 351008, Taiwan (R.O.C.)"
"00018096","萬仕生技國際有限公司","Ones Biotech, Inc.","高雄市鳳山區建國路一段325巷1號","No. 1, Ln. 325, Sec. 1, Jianguo Rd., Fengshan Dist., Kaohsiung City 830004, Taiwan (R.O.C.)"
"00018188","神仙教母設計有限公司","fashion fairy godmother LTD.","新北市五股區成泰路1段98巷2號","No. 2, Ln. 98, Sec. 1, Chengtai Rd., Wugu Dist., New Taipei City 248023, Taiwan (R.O.C.)"
"00018504","源升實業有限公司","Excellent Company","臺北市北投區中央北路1段168號4樓之1","4 F.-1, No. 168, Sec. 1, Zhongyang N. Rd., Beitou Dist., Taipei City 112023, Taiwan (R.O.C.)"
"00018568","食萃股份有限公司","NATURAL ESSENCE CO., LTD.","臺北市大同區長安西路230號1樓","1 F., No. 230, Chang'an W. Rd., Datong Dist., Taipei City 103015, Taiwan (R.O.C.)"
"00018650","旭豐興業有限公司","Shiu feng dynasty PTY LTD.","臺南市安南區北安路2段32巷5號1樓","1 F., No. 5, Ln. 32, Sec. 2, Bei'an Rd., Annan Dist., Tainan City 709002, Taiwan (R.O.C.)"
"00018672","台繽園藝有限公司","TAIBIN FLORICULTURE CO., LTD.","彰化縣永靖鄉港西村永社路306號","No. 306, Yongshe Rd., Yongjing Township, Changhua County 512003, Taiwan (R.O.C.)"
"00019757","赫展國際有限公司","Hezhan International CO., LTD.","臺南市北區中華北路1段263巷71號1樓","1 F., No. 71, Ln. 263, Sec. 1, Zhonghua N. Rd., North Dist., Tainan City 704035, Taiwan (R.O.C.)"
"00019996","藍色地平線股份有限公司","Blue Zones Sleep Technology CO., LTD.","臺北市內湖區瑞光路582號7樓之1","7 F.-1, No. 582, Ruiguang Rd., Neihu Dist., Taipei City 114728, Taiwan (R.O.C.)"
"00020190","鼎合運動用品有限公司","TEEHOME TRADING CO., LTD.","臺中市大里區長榮里新生西路181巷25弄16號1樓","1 F., No. 16, Aly. 25, Ln. 181, Xinsheng W. Rd., Changrong Vil., Dali Dist., Taichung City 412015, Taiwan (R.O.C.)"
"00020282","葛蘭町科技有限公司","GRANDING TECHNOLOGY CORP.","新北市林口區富貴路77號9樓","9 F., No. 77, Fugui Rd., Linkou Dist., New Taipei City 244016, Taiwan (R.O.C.)"
"00020298","武宸股份有限公司","WU CHEN CORPORATION LIMITED","臺中市北屯區文心路三段447號10樓之2","10 F.-2, No. 447, Sec. 3, Wenxin Rd., Beitun Dist., Taichung City 406505, Taiwan (R.O.C.)"
"00020348","呈盈創意行銷有限公司","CHENG YING Marketing LTD.","臺北市萬華區忠孝西路2段20號3樓","3 F., No. 20, Sec. 2, Zhongxiao W. Rd., Wanhua Dist., Taipei City 108001, Taiwan (R.O.C.)"
"00020585","海沃資產管理股份有限公司","HAIWEALTH External Asset Management CO., LTD.","臺北市中正區許昌街42號8樓","8 F., No. 42, Xuchang St., Zhongzheng Dist., Taipei City 100008, Taiwan (R.O.C.)"
"00020706","瀚毓室內裝修設計有限公司","Daedalus Design CO., LTD.","臺北市中山區明水路696號4樓之2","4 F.-2, No. 696, Mingshui Rd., Zhongshan Dist., Taipei City 104051, Taiwan (R.O.C.)"
"00021249","酷多知國際有限公司","KDSE International Company","新北市泰山區明志路3段153號3樓之2","3 F.-2, No. 153, Sec. 3, Mingzhi Rd., Taishan Dist., New Taipei City 243088, Taiwan (R.O.C.)"
"00021830","沃凱國際有限公司","Oasis Castle International Limited","新竹市東區北大路40巷9號","No. 9, Ln. 40, Beida Rd., North Dist., Hsinchu City 300, Taiwan (R.O.C.)"
"00022325","新加坡商在?儀器股份有限公司台灣分公司","ONLINE INSTRUMENTS SINGAPORE PTE LTD. Taiwan Branch","臺北市松山區復興北路367號8樓","8 F., No. 367, Fuxing N. Rd., Songshan Dist., Taipei City 105401, Taiwan (R.O.C.)"
"00023204","岩昇科技有限公司","DigiRise Technology LTD.","臺中市西屯區長安路二段131巷78號11樓之2","11 F.-2, No. 78, Ln. 131, Sec. 2, Chang'an Rd., Xitun Dist., Taichung City 407351, Taiwan (R.O.C.)"
"00023534","力擎科技貿易有限公司","Liqing Technology Trading CO., LTD.","高雄市岡山區明得街37號5樓","5 F., No. 37, Mingde St., Gangshan Dist., Kaohsiung City 820006, Taiwan (R.O.C.)"
"00023817","詠富國際數位有限公司","YOUTHFUL INTERNATION LTD.","臺北市內湖區基湖路1號8樓之1","8 F.-1, No. 1, Jihu Rd., Neihu Dist., Taipei City 114066, Taiwan (R.O.C.)"
"00024392","優莎諾有限公司","USSARO CO., LTD.","臺中市北區邱厝里中清路一段129號2樓","2 F., No. 129, Sec. 1, Zhongqing Rd., Qiucuo Vil., North Dist., Taichung City 404021, Taiwan (R.O.C.)"
