"統一編號","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址"
"30010357","雅麗企業有限公司","YALICO BROS. CO., LTD.","臺北市士林區忠誠路2段5號12樓","12 F., No. 5, Sec. 2, Zhongcheng Rd., Shilin Dist., Taipei City 11148, Taiwan (R.O.C.)"
"30010574","明達生物科技股份有限公司","INTEX INDUSTRIES LTD.","花蓮縣新城鄉康樂村精舍街88巷3號","No. 3, Ln. 88, Jingshe St., Kangle Vil., Xincheng Township,  Hualien County 971, Taiwan (R.O.C.)"
"30010928","申和貿易股份有限公司","SEN HO TRADING CO., LTD.","臺北市中山區民生東路3段23號1樓","1 F., No. 23, Sec. 3, Minsheng E. Rd., Zhongshan Dist., Taipei City 10478, Taiwan (R.O.C.)"
"30011193","翔輪貿易股份有限公司","HSIANG LUN INTERNATIONAL CORP.","臺北市大同區長安西路106號6樓","6 F., No. 106, Chang’an W. Rd., Datong Dist., Taipei City 10351, Taiwan (R.O.C.)"
"30011308","雙合貿易有限公司","TWIN FAIR TRADING CO., LTD.","臺北市中山區長春路89之4號1樓","1 F., No. 89-4, Changchun Rd., Zhongshan Dist., Taipei City 104087, Taiwan (R.O.C.)"
"30011460","國偉貿易有限公司","K. W. TRADING CO., LTD.","臺北市中山區松江路293號3樓311室","Rm. 311, 3 F., No. 293, Songjiang Rd., Zhongshan Dist., Taipei City 10483, Taiwan (R.O.C.)"
"30011829","奇盛企業股份有限公司","SEASON ENTERPRISE CO., LTD.","臺北市大同區延平北路1段69巷32號","No. 32, Ln. 69, Sec. 1, Yanping N. Rd., Datong Dist., Taipei City 103007, Taiwan (R.O.C.)"
"30012284","台北欄間有限公司","TAIPEI INVESTMENT CO., LTD.","臺北市大同區寧夏路14號1樓","1 F., No. 14, Ningxia Rd., Datong Dist., Taipei City 103019, Taiwan (R.O.C.)"
"30012427","德城行有限公司","MORALBURG ENTERPRISE CORPORATION","臺中市北屯區舊社里北屯路390號10樓之1","10F.-1, No. 390, Beitun Rd., Jiushe Vil., Beitun Dist., Taichung City 40654, Taiwan (R.O.C.)"
"30015120","皇后股份有限公司","ELEGANCE QUEEN CO., LTD.","臺北市松山區北寧路18號6樓","6 F., No. 18, Beining Rd., Songshan Dist., Taipei City 10552, Taiwan (R.O.C.)"
"30016015","萬成鋼鐵有限公司","WAN CHENG STEEL CO., LTD.","臺北市大同區興城街66號4樓","4 F., No. 66, Xingcheng St., Datong Dist., Taipei City 10360, Taiwan (R.O.C.)"
"30016198","龍億工業股份有限公司","LONG YIH INDUSTRY COMPANY","新北市三重區光復路2段90號1樓","1 F., No. 90, Sec. 2, Guangfu Rd., Sanchong Dist., New Taipei City 24158, Taiwan (R.O.C.)"
