"統一編號","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址"
"70000215","一友企業股份有限公司","YHE YOO ENTERPRISE CO., LTD.","臺南市安南區安順里開安路201號","No. 201, Kai’an Rd., Anshun Vil., Annan Dist., Tainan City 709005, Taiwan (R.O.C.)"
"70005915","千興不銹鋼股份有限公司","CHIEN SHING STAINLESS STEEL CO., LTD.","臺南市麻豆區埤頭里工業路222號","No. 222, Gongye Rd., Pitou Vil., Madou Dist., Tainan City 721011, Taiwan (R.O.C.)"
"70006007","永利興工業股份有限公司","YEONG RI SHING INDUSTRY JOINT STOCK CO., LTD.","臺南市安南區安和路四段467號","No. 467, Sec. 4, Anhe Rd., Annan Dist., Tainan City 70965, Taiwan (R.O.C.)"
"70011711","生泰工業股份有限公司","TAI & SONS INDUSTRIAL CO., LTD.","臺南市安南區安東里26鄰安和路2段54巷223號","No. 223, Ln. 54, Sec. 2, Anhe Rd., 26th Neighborhood, Andong Vil., Annan Dist., Tainan City 709032, Taiwan (R.O.C.)"
"70013632","利興塑膠廠","Li Sing PLASTICS CO.","臺南市安南區總頭里長溪路2段486巷37號","No. 37, Ln. 486, Sec. 2, Changxi Rd., Zongtou Vil., Annan Dist., Tainan City 70968, Taiwan (R.O.C.)"
"70019410","青?企業股份有限公司","CHING HOUNG ENTERPRISES CO., LTD.","臺南市東區富裕里裕豐街14號12樓","12 F., No. 14, Yufeng St., Fuyu Vil., East Dist., Tainan City 701011, Taiwan (R.O.C.)"
"70030512","進大塑膠工業股份有限公司","JINN-DAH INDUSTRIES PLASTIC CO., LTD.","臺南市安南區本原街3段136巷20號","No. 20, Ln. 136, Sec. 3, Benyuan St., Annan Dist., Tainan City 709042, Taiwan (R.O.C.)"
"70031110","清豐企業股份有限公司","CHENG FENG ENTERPRISES CO., LTD.","臺南市安南區?田里工業二路16號","No. 16, Gongye 2nd Rd., Annan Dist., Tainan City 70955, Taiwan (R.O.C.)"
"70033356","順大工業股份有限公司","LIONSCORE INDUSTRIAL CO., LTD.","臺南市中西區永福路1段189號12樓","12 F., No. 189, Sec. 1, Yongfu Rd., West Central Dist., Tainan City 700019, Taiwan (R.O.C.)"
"70045819","慶隆爆竹煙火工廠","QING LONG FIRECRACKER FIREWORK FACTORY","臺南市安南區城南里青砂街1段65巷61弄43號1樓","1 F., No. 43, Aly. 61, Ln. 65, Sec. 1, Qingsha St., Chengnan Vil., Annan Dist., Tainan City 70948, Taiwan (R.O.C.)"
"70350042","頂暘太陽能科技有限公司","TYNSUN SOLAR ENERGY CORP.","苗栗縣竹南鎮龍昇街113號","No. 113, Longsheng St., Zhunan Township, Miaoli County 35055, Taiwan (R.O.C.)"
"70350113","瑪黑室內裝修設計工程有限公司","MARAIS DESIGN INC","臺北市松山區光復南路32巷19號","No. 19, Ln. 32, Guangfu S. Rd., Songshan Dist., Taipei City 105047, Taiwan (R.O.C.)"
"70350161","金百泰興業有限公司","KING BI TAI CO., LTD.","新北市板橋區文聖街205巷4號2樓","2 F., No. 4, Ln. 205, Wensheng St., Banqiao Dist., New Taipei City 22044, Taiwan (R.O.C.)"
"70350227","欣暘國際有限公司","CHRISEE INTERNATIONAL CO., LTD.","新北市林口區民族路8號6樓","6 F., No. 8, Minzu Rd., Linkou Dist., New Taipei City 24462, Taiwan (R.O.C.)"
"70350248","蘿丹室內裝修有限公司","RODIN INTERIOR DECORATION CO., LTD.","臺北市中山區建國北路2段86號11樓","11 F., No. 86, Sec. 2, Jianguo N. Rd., Zhongshan Dist., Taipei City 10479, Taiwan (R.O.C.)"
"70350253","永賀股份有限公司","FLUSHTECH CORP.","桃園市蘆竹區長興里5鄰南崁路二段352之3號2樓","2 F., No. 352-3, Sec. 2, Nankan Rd., 5th Neighborhood, Changxing Vil., Luzhu Dist., Taoyuan City 338015, Taiwan (R.O.C.)"
"70350303","達邑國際事業有限公司","HARRY & SONS INTERNATIONAL CO., LTD.","臺北市士林區美崙街116號7樓","7 F., No. 116, Meilun St., Shilin Dist., Taipei City 111045, Taiwan (R.O.C.)"
"70350401","布利晴實業有限公司","BLOOMING DALE INDUSTRIES CORP.","臺北市中山區新生北路2段31之1號6樓之1","6 F.-1, No. 31-1, Sec. 2, Xinsheng N. Rd., Zhongshan Dist., Taipei City 104489, Taiwan (R.O.C.)"
"70350438","雙鈺電子股份有限公司","DOUBLE WAY ELECTRONIC CO., LTD.","新北市三重區重新路3段126號11樓之1","11F.-1, No. 126, Sec. 3, Chongxin Rd., Sanchong Dist., New Taipei City 24143, Taiwan (R.O.C.)"
"70350486","呦呦藝術事業有限公司","YUYU ART INTERNATIONAL COMPANY","臺北市中正區重慶南路2段31號6樓","6 F., No. 31, Sec. 2, Chongqing S. Rd., Zhongzheng Dist., Taipei City 10066, Taiwan (R.O.C.)"
"70350606","合邦商網股份有限公司","HOBAN INC.","臺北市內湖區瑞光路66巷36號3樓","3 F., No. 36, Ln. 66, Ruiguang Rd., Neihu Dist., Taipei City 114062, Taiwan (R.O.C.)"
"70350654","翰王貿易有限公司","HELM WING CORP.","臺北市大安區信義路4段306號5樓之2","5F.-2, No. 306, Sec. 4, Xinyi Rd., Da’an Dist., Taipei City 10679, Taiwan (R.O.C.)"
"70350789","廣力興開發有限公司","CIRCLE YOUTH & COMPANY LIMITED","新北市新莊區豐盛一街2號4樓","4 F., No. 2, Fengsheng 1st St., Xinzhuang Dist., New Taipei City 242065, Taiwan (R.O.C.)"
"70350893","盈坊行銷管理顧問有限公司","AD.KOMTRUE MARKETING LTD.","花蓮縣吉安鄉南埔十六街113號","No. 113, Nanpu 16th St., Ji’an Township, Hualien County 973038, Taiwan (R.O.C.)"
"70350916","基弘商行有限公司","KEE HONG TRADING CO., LTD.","臺北市文山區木新路2段285號1樓","1 F., No. 285, Sec. 2, Muxin Rd., Wenshan Dist., Taipei City 116017, Taiwan (R.O.C.)"
"70350964","欽總工程股份有限公司","C &C ENGINEERING, INC.","臺北市信義區松信路11號","No. 11, Songxin Rd., Xinyi Dist., Taipei City 11069, Taiwan (R.O.C.)"
"70351035","高騏企業有限公司","GOLDEN FILTRATION ENTERPRISE CO., LTD","臺北市中山區新生北路3段61號3樓之19","3F.-19, No. 61, Sec. 3, Xinsheng N. Rd., Zhongshan Dist., Taipei City 10471, Taiwan (R.O.C.)"
"70351176","世峰通訊企業有限公司","SHIN FENG COMMUNICATION CO., LTD.","新北市新店區安興路109號11樓之7","11 F.-7, No. 109, Anxing Rd., Xindian Dist., New Taipei City 231066, Taiwan (R.O.C.)"
"70351339","百立寶實業有限公司","MURPHYJO INTERNATIONAL CO., LTD.","桃園市中壢區龍昌里龍川街96號1樓","1 F., No. 96, Longchuan St., Longchang Vil., Zhongli Dist., Taoyuan City 320050, Taiwan (R.O.C.)"
"70351485","保東有限公司","BO DONG INTERNATIONAL CO., LTD.","新北市中和區中山路2段332巷35號9樓","9 F., No. 35, Ln. 332, Sec. 2, Zhongshan Rd., Zhonghe Dist., New Taipei City 235026, Taiwan (R.O.C.)"
